record_id,subset,label,duration_s,n_segments,cache_path,fold
a0001,training-a,abnormal,35.666,13,cache/cinc2016/a0001.npz,2
a0002,training-a,abnormal,20.8285,7,cache/cinc2016/a0002.npz,2
a0003,training-a,abnormal,30.72,11,cache/cinc2016/a0003.npz,3
a0004,training-a,abnormal,35.5965,13,cache/cinc2016/a0004.npz,1
a0005,training-a,abnormal,35.666,13,cache/cinc2016/a0005.npz,3
a0006,training-a,abnormal,20.759,7,cache/cinc2016/a0006.npz,2
a0007,training-a,normal,35.666,13,cache/cinc2016/a0007.npz,4
a0008,training-a,abnormal,35.8055,13,cache/cinc2016/a0008.npz,4
a0009,training-a,normal,35.8055,13,cache/cinc2016/a0009.npz,0
a0010,training-a,abnormal,35.736,13,cache/cinc2016/a0010.npz,3
a0011,training-a,normal,35.5965,13,cache/cinc2016/a0011.npz,0
a0012,training-a,normal,30.8595,11,cache/cinc2016/a0012.npz,0
a0013,training-a,abnormal,35.666,13,cache/cinc2016/a0013.npz,4
a0014,training-a,abnormal,35.736,13,cache/cinc2016/a0014.npz,0
a0015,training-a,abnormal,35.736,13,cache/cinc2016/a0015.npz,0
a0016,training-a,normal,30.79,11,cache/cinc2016/a0016.npz,1
a0017,training-a,abnormal,35.666,13,cache/cinc2016/a0017.npz,3
a0018,training-a,abnormal,20.898,7,cache/cinc2016/a0018.npz,2
a0019,training-a,normal,30.8595,11,cache/cinc2016/a0019.npz,2
a0020,training-a,abnormal,35.666,13,cache/cinc2016/a0020.npz,1
a0021,training-a,abnormal,35.5965,13,cache/cinc2016/a0021.npz,1
a0022,training-a,abnormal,36.1535,13,cache/cinc2016/a0022.npz,0
a0023,training-a,abnormal,30.581,11,cache/cinc2016/a0023.npz,0
a0024,training-a,abnormal,20.689,7,cache/cinc2016/a0024.npz,1
a0025,training-a,normal,31.138,11,cache/cinc2016/a0025.npz,1
a0026,training-a,abnormal,35.5965,13,cache/cinc2016/a0026.npz,1
a0027,training-a,normal,31.138,11,cache/cinc2016/a0027.npz,2
a0028,training-a,normal,30.8595,11,cache/cinc2016/a0028.npz,0
a0029,training-a,normal,30.72,11,cache/cinc2016/a0029.npz,0
a0030,training-a,abnormal,36.2235,13,cache/cinc2016/a0030.npz,1
a0031,training-a,abnormal,35.5965,13,cache/cinc2016/a0031.npz,0
a0032,training-a,normal,35.666,13,cache/cinc2016/a0032.npz,3
a0033,training-a,abnormal,35.666,13,cache/cinc2016/a0033.npz,3
a0034,training-a,abnormal,30.581,11,cache/cinc2016/a0034.npz,2
a0035,training-a,normal,28.9825,10,cache/cinc2016/a0035.npz,2
a0036,training-a,abnormal,35.9445,13,cache/cinc2016/a0036.npz,3
a0037,training-a,abnormal,35.736,13,cache/cinc2016/a0037.npz,4
a0038,training-a,normal,34.63,12,cache/cinc2016/a0038.npz,2
a0039,training-a,abnormal,30.72,11,cache/cinc2016/a0039.npz,2
a0040,training-a,abnormal,35.666,13,cache/cinc2016/a0040.npz,3
a0041,training-a,abnormal,35.109,13,cache/cinc2016/a0041.npz,1
a0042,training-a,abnormal,36.1535,13,cache/cinc2016/a0042.npz,2
a0043,training-a,abnormal,35.5965,13,cache/cinc2016/a0043.npz,0
a0044,training-a,abnormal,30.6505,11,cache/cinc2016/a0044.npz,4
a0045,training-a,abnormal,35.875,13,cache/cinc2016/a0045.npz,4
a0046,training-a,abnormal,35.736,13,cache/cinc2016/a0046.npz,4
a0047,training-a,abnormal,35.5965,13,cache/cinc2016/a0047.npz,1
a0048,training-a,abnormal,36.2235,13,cache/cinc2016/a0048.npz,1
a0049,training-a,normal,30.8595,11,cache/cinc2016/a0049.npz,3
a0050,training-a,normal,30.6505,11,cache/cinc2016/a0050.npz,2
a0051,training-a,abnormal,35.5965,13,cache/cinc2016/a0051.npz,0
a0052,training-a,abnormal,35.736,13,cache/cinc2016/a0052.npz,0
a0053,training-a,normal,35.875,13,cache/cinc2016/a0053.npz,1
a0054,training-a,abnormal,35.666,13,cache/cinc2016/a0054.npz,4
a0055,training-a,normal,35.666,13,cache/cinc2016/a0055.npz,1
a0056,training-a,abnormal,30.79,11,cache/cinc2016/a0056.npz,0
a0057,training-a,abnormal,35.9445,13,cache/cinc2016/a0057.npz,4
a0058,training-a,abnormal,20.6195,7,cache/cinc2016/a0058.npz,4
a0059,training-a,abnormal,35.666,13,cache/cinc2016/a0059.npz,3
a0060,training-a,abnormal,35.666,13,cache/cinc2016/a0060.npz,0
a0061,training-a,abnormal,30.79,11,cache/cinc2016/a0061.npz,1
a0062,training-a,abnormal,36.084,13,cache/cinc2016/a0062.npz,2
a0063,training-a,abnormal,35.666,13,cache/cinc2016/a0063.npz,3
a0064,training-a,abnormal,35.5965,13,cache/cinc2016/a0064.npz,4
a0065,training-a,abnormal,35.736,13,cache/cinc2016/a0065.npz,0
a0066,training-a,abnormal,35.5965,13,cache/cinc2016/a0066.npz,0
a0067,training-a,abnormal,20.8285,7,cache/cinc2016/a0067.npz,2
a0068,training-a,normal,35.736,13,cache/cinc2016/a0068.npz,2
